rooms,area,price
2,611,975
5,3341,5733
3,1591,2834
3,1215,2406
1,638,1193
1,563,1348
1,778,1436
4,2160,5377
3,1080,2491
3,1726,2539
1,784,1889
5,4421,5973
4,2475,5600
2,799,1354
1,324,758
1,765,1781
2,688,1546
3,1267,2821
2,1170,1867
2,1088,1420
3,1537,2649
1,346,493
2,887,1865
2,615,1014
2,1000,2468
4,2418,4916
1,581,1318
3,1085,1488
3,1249,2898
1,690,1655
3,1781,3264
1,634,1260
1,416,912
5,2136,3048
5,4930,9136
4,2187,3757
2,1097,1525
1,614,1030
3,1726,2224
2,1076,1327
1,381,524
2,822,2015
1,777,1487
5,4419,10851
2,1001,1764
3,1442,2314
2,1089,2023
3,1614,2858
3,1272,1701
1,313,636
5,3182,4712
4,1651,3311
5,4667,9545
4,1687,2357
3,1097,1403
5,2130,4717
1,592,1064
1,470,599
1,723,1802
2,782,997
2,963,2025
2,638,1581
4,2026,3061
2,1096,1517
2,1115,1513
3,1348,2149
1,769,1023
4,2420,5081
1,696,891
5,4769,8881
4,1660,4142
1,315,711
1,792,1583
4,1925,3076
3,1107,2226
3,1449,2731
4,1810,3174
1,526,720
2,769,1809
1,333,594
4,1913,2779
3,1250,2097
2,740,1286
1,573,1304
2,1015,2186
2,638,1403
3,1028,1248
3,1476,2569
4,1817,3317
2,844,1033
1,535,822
3,1696,3711
4,1771,2440
3,1439,2728
4,2247,3325
2,838,1018
3,1376,2082
2,865,2135
1,713,1598
1,708,1732
1,658,1206
3,1339,1797
2,988,1889
3,1576,2822
